Date;HH;MM;SS;EOG Left[uV];EEG C3-A1[uV];EEG O1-A1[uV];EEG C4-A1[uV];EEG O2-A1[uV]
2016/03/08;1;30;37,445;-9,47265625000002;-13,28125;13,76953125;-7,32421875000002;-1,66015625000002
2016/03/08;1;30;37,45;-10,25390625;-11,03515625;17,28515625;-12,5;2,53906249999998
2016/03/08;1;30;37,455;-8,69140625000002;-3,71093750000002;19,53125;-6,05468750000002;7,81249999999998
2016/03/08;1;30;37,46;-8,98437500000002;3,32031249999998;18,45703125;5,27343749999998;12,890625
2016/03/08;1;30;37,465;-5,76171875000002;6,73828124999998;18,84765625;12,98828125;16,69921875
2016/03/08;1;30;37,47;-4,49218750000002;7,81249999999998;17,1875;18,5546875;18,26171875
2016/03/08;1;30;37,475;-5,76171875000002;6,05468749999998;14,6484375;18,75;17,67578125
2016/03/08;1;30;37,48;-5,07812500000002;2,92968749999998;14,0625;15,4296875;15,8203125
2016/03/08;1;30;37,485;-9,17968750000002;-3,12500000000002;10,25390625;9,08203124999998;11,62109375
2016/03/08;1;30;37,49;-11,328125;-6,73828125000002;8,49609374999998;5,07812499999998;11,03515625
2016/03/08;1;30;37,495;-12,6953125;-5,27343750000002;6,64062499999998;4,29687499999998;8,59374999999998
2016/03/08;1;30;37,5;-12,890625;-0,976562500000017;6,54296874999998;5,46874999999998;8,10546874999998
2016/03/08;1;30;37,505;-8,59375000000002;10,05859375;8,59374999999998;12,109375;4,68749999999998
2016/03/08;1;30;37,51;-5,37109375000002;19,140625;7,51953124999998;18,359375;1,36718749999998
2016/03/08;1;30;37,515;-1,75781250000002;26,5625;9,17968749999998;21,6796875;0,195312499999983
2016/03/08;1;30;37,52;1,95312499999998;30,6640625;6,44531249999998;26,26953125;-0,390625000000017
2016/03/08;1;30;37,525;2,44140624999998;28,515625;2,73437499999998;27,63671875;-1,26953125000002
2016/03/08;1;30;37,53;2,14843749999998;27,734375;0,195312499999983;30,859375;1,56249999999998
2016/03/08;1;30;37,535;2,34374999999998;24,8046875;0,585937499999983;29,6875;0,292968749999983
